p,rev_p,dr_p,dr_revp,product_dr,product_in_col1,diff,diff_dr,p_mod37,revp_mod37,same_mod37,chi_p,col_p
125551,155521,1,1,1,True,29970,9,10,10,True,1,COL1
125627,726521,5,5,7,True,600894,9,12,26,False,-1,COL2
125639,936521,8,8,1,True,810882,9,24,14,False,-1,COL2
125641,146521,1,1,1,True,20880,9,26,1,False,1,COL1
125651,156521,2,2,4,True,30870,9,36,11,False,-1,COL2
125659,956521,1,1,1,True,830862,9,7,34,False,1,COL1
125669,966521,2,2,4,True,840852,9,17,7,False,-1,COL2
125683,386521,7,7,4,True,260838,9,31,19,False,1,COL1
125791,197521,7,7,4,True,71730,9,28,15,False,1,COL1
125803,308521,1,1,1,True,182718,9,3,15,False,1,COL1
125821,128521,1,1,1,True,2700,9,21,20,False,1,COL1
125863,368521,7,7,4,True,242658,9,26,1,False,1,COL1
125887,788521,4,4,7,True,662634,9,13,14,False,1,COL1
125897,798521,5,5,7,True,672624,9,23,24,False,-1,COL2
125941,149521,4,4,7,True,23580,9,30,4,False,1,COL1
126019,910621,1,1,1,True,784602,9,34,14,False,1,COL1
126031,130621,4,4,7,True,4590,9,9,11,False,1,COL1
126067,760621,4,4,7,True,634554,9,8,12,False,1,COL1
126107,701621,8,8,1,True,575514,9,11,27,False,-1,COL2
126127,721621,1,1,1,True,595494,9,31,10,False,1,COL1
126199,991621,1,1,1,True,865422,9,29,21,False,1,COL1
126359,953621,8,8,1,True,827262,9,4,20,False,-1,COL2
126397,793621,1,1,1,True,667224,9,5,8,False,1,COL1
126443,344621,2,2,4,True,218178,9,14,3,False,-1,COL2
126461,164621,2,2,4,True,38160,9,32,8,False,-1,COL2
126499,994621,4,4,7,True,868122,9,33,24,False,1,COL1
126517,715621,4,4,7,True,589104,9,14,4,False,1,COL1
126547,745621,7,7,4,True,619074,9,7,34,False,1,COL1
126551,155621,2,2,4,True,29070,9,11,36,False,-1,COL2
126583,385621,7,7,4,True,259038,9,6,7,False,1,COL1
126613,316621,1,1,1,True,190008,9,36,12,False,1,COL1
126631,136621,1,1,1,True,9990,9,17,17,True,1,COL1
126653,356621,5,5,7,True,229968,9,2,15,False,-1,COL2
126683,386621,8,8,1,True,259938,9,32,8,False,-1,COL2
126713,317621,2,2,4,True,190908,9,25,13,False,-1,COL2
126743,347621,5,5,7,True,220878,9,18,6,False,-1,COL2
126761,167621,5,5,7,True,40860,9,36,11,False,-1,COL2
126823,328621,4,4,7,True,201798,9,24,24,True,1,COL1
126851,158621,5,5,7,True,31770,9,15,2,False,-1,COL2
126949,949621,4,4,7,True,822672,9,2,16,False,1,COL1
127033,330721,7,7,4,True,203688,9,12,15,False,1,COL1
127051,150721,7,7,4,True,23670,9,30,20,False,1,COL1
127079,970721,8,8,1,True,843642,9,21,26,False,-1,COL2
127123,321721,7,7,4,True,194598,9,28,6,False,1,COL1
127207,702721,1,1,1,True,575514,9,1,17,False,1,COL1
127271,172721,2,2,4,True,45450,9,28,5,False,-1,COL2
127277,772721,8,8,1,True,645444,9,34,13,False,-1,COL2
127373,373721,5,5,7,True,246348,9,19,21,False,-1,COL2
127447,744721,7,7,4,True,617274,9,19,22,False,1,COL1
127481,184721,5,5,7,True,57240,9,16,17,False,-1,COL2
127493,394721,8,8,1,True,267228,9,28,5,False,-1,COL2
127529,925721,8,8,1,True,798192,9,27,18,False,-1,COL2
127541,145721,2,2,4,True,18180,9,2,15,False,-1,COL2
127637,736721,8,8,1,True,609084,9,24,14,False,-1,COL2
127643,346721,5,5,7,True,219078,9,30,31,False,-1,COL2
127663,366721,7,7,4,True,239058,9,13,14,False,1,COL1
127679,976721,5,5,7,True,849042,9,29,32,False,-1,COL2
127733,337721,5,5,7,True,209988,9,9,22,False,-1,COL2
127739,937721,2,2,4,True,809982,9,15,30,False,-1,COL2
127763,367721,8,8,1,True,239958,9,2,15,False,-1,COL2
127781,187721,8,8,1,True,59940,9,20,20,True,-1,COL2
